"사업번호","자치구","법정동","사업구분","운영구분","추진위원회/조합명","대표지번","진행단계","상태","토지등 소유자 수","정비구역명칭","정비구역위치","정비구역면적(㎡)","건축연면적(㎡)","용도지역","용도지구","택지면적(㎡)","도로면적(㎡)","공원면적(㎡)","녹지면적(㎡)","공공공지면적(㎡)","학교면적(㎡)","기타면적(㎡)","주용도","건폐율","용적률","높이(m)","지상층수","지하층수","분양세대총수","60㎡이하","60㎡초과~85㎡이하","85㎡초과","임대세대총수","(임대)40㎡이하","(임대)40㎡초과~50㎡이하","(임대)50㎡초과","건축계획비고","위치도","조감도","배치도","조합사무실 주소","조합사무실 전화번호"
"11710-900000689","송파구","문정동","재건축","조합","가락1차현대아파트 재건축정비사업 조합","문정동 3","조합설립인가","운영","542","가락1차현대아파트 주택재건축사업","송파구 동남로 160 (문정동 3번지)","33953.70","14911391.98","제3종일반주거지역","제3종일반주거지역","","","","","","","","공동주택 및 부대복리시설","23.71","299.20","104","","","756","143","403","210","159","","","159","","/servlet/image?url=images/assc/2018/08/201808061336401533530200390.png","","","노인정 1층 (문정동, 가락1차현대아파트)","02-430-2273"
"11440-900001171","마포구","구수동","재개발(도시정비형)","공공지원자","광흥창역세권(구수동) 도시정비형 재개발구역","구수동 16-1","정비계획 수립","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11545-900001248","금천구","시흥동","가로주택정비","조합","시흥동 933번지 일대 가로주택정비사업","시흥동 933","조합설립인가","운영","123","시흥동 933번지 일대 가로주택정비사업","금천구 시흥동 933-0","11378.20","43016.62","도시지역","제1종일반주거지역(제2종일반주거지역 종상향)","10414.60","","","","","","","공동주택","24.27","249.81","","15","2","245","81","164","","27","","","27","인허가 과정에서 변경됨","/servlet/image?url=images/assc/2024/12/202412051341151733373675152.jpg","","","서울특별시 금천구 독산로 18, 2층 (시흥동)","02-805-9330"
"11545-900000654","금천구","시흥동","재건축","조합","무지개아파트 일대 재건축 정비사업 조합 ","시흥동 109","사업시행인가","운영","739","시흥동 무지개아파트 일대 재건축 정비사업","금천구 시흥동 109-1","28336.00","143379.11","제3종일반주거지역(무지개연립부지:준주거지역)","최고고도지구(진입표면 해발 297.86m~335.36m)","26922.00","1414.00","","","","","1037.30","공동주택","19.47","299.41","104","34","4","865","689","176","","128","128","","","","/servlet/image?url=images/assc/2018/12/201812271505491545890749505.jpg","/servlet/image/assc/2021/07/202107061122091625538129588.jpg","/servlet/image/assc/2021/07/202107061557461625554666779.jpg","서울특별시 금천구 시흥대로71길 42, 2층 (시흥동)","02-804-1007"
"11710-900001175","송파구","마천동","재개발(주택정비형)","공공지원자","마천2구역 주택재개발","마천동 183-1","정비계획 수립","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11560-100004034","영등포구","양평동","재개발(도시정비형)","조합","69. 양평제12구역 도시환경정비사업조합","양평동1가 243-1","관리처분인가","운영","382","양평제12구영도시환경정비사업조합","영등포구 양평동1가 265-1","37561.80","97466.66","준공업지역","","","3673.80","2389.40","","","","","","19.32","279.05","","35","2","539","262","277","","168","42","42","84","","/servlet/image/assc/2011/10/201110271439021319693942426.jpg","/servlet/image?url=images/assc/2018/05/201805191307541526702874674.jpg","/servlet/image?url=images/assc/2023/06/202306131015201686618920291.jpg","서울특별시 영등포구 양산로 43, 2층 208-2호 (양평동3가)","02-2631-4590"
"11350-900001017","노원구","상계동","재개발(주택정비형)","공공지원자","상계5동 신속통합기획 주택재개발사업(추정분담금테스트)","상계동 154-3","정비구역지정","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11650-900000904","서초구","잠원동","리모델링","조합","미주파스텔아아파트 리모델링주택조합","잠원동 54","조합설립인가","운영","91","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11710-900000871","송파구","석촌동","지역주택","조합","(가칭)석촌역지역주택조합","석촌동 287","조합설립인가","운영","0","석촌역지역주택조합","송파구 석촌동 287-0","4259.80","48487.04","준주거지역","지구단위계회구역","4259.80","","","","","","","공동주택 주상복합","59.38","699.75","35","35","6","300","288","12","","80","52","","28","","/servlet/image?url=images/assc/2022/12/202212131104081670897048628.png","/servlet/image?url=images/assc/2022/12/202212131104091670897049961.png","/servlet/image?url=images/assc/2022/12/202212131104101670897050052.png","서울특별시 강동구 천호옛길 88, 7층 (성내동)","02-488-7474"
"11710-900000870","송파구","오금동","지역주택","조합","(가칭)오금역 지역주택조합","오금동 36-1","조합설립인가","운영","0","오금역지역주택조합","송파구 오금동 36-1번지","15117.96","93169.65","준주거지역[기존 제2종(7층이하)제3종일반주거지역]","도시지역","15117.96","","","","","","","공동주택","35.13","432.94","","35","2","393","129","264","","203","","","203","","/servlet/image?url=images/assc/2022/04/202204121507471649743667904.png","/servlet/image?url=images/assc/2022/04/202204121507481649743668006.jpg","/servlet/image?url=images/assc/2022/04/202204121507521649743672767.jpg","서울특별시 송파구 오금로35길 40, 2층 (오금동)","02-449-1777"
"11710-900000869","송파구","송파동","지역주택","조합","(가칭)송파역지역주택조합","송파동 100","조합설립인가","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11410-100007009","서대문구","홍제동","재건축","조합","홍제동 제1주택재건축정비사업 조합","홍제동 57-5","준공인가","운영","342","홍제동 제1주택재건축정비사업","서대문구 홍제동 57-5","38404.00","116887.68","제1.2종 일반주거지역","일반미관지구","30338.00","2679.00","4999.00","","388.00","","","아파트 및 부대복리시설","14.91","241.25","55","19","3","764","335","416","13","57","","57","","60㎡미만(임대57세대포함)","/servlet/image/assc/2011/11/201111281145061322448306727.bmp","/servlet/image/assc/2019/09/201909200950001568940600893.jpg","/servlet/image/assc/2019/09/201909200953121568940792535.jpg","3층","02-730-9486"
"11590-100002004","동작구","흑석동","재개발(주택정비형)","조합","흑석1재정비촉진구역 재개발정비사업조합","흑석동 43-7","조합설립인가","운영","381","흑석1재정비촉진구역","동작구 흑석동 43-7번지 ","26675.00","82260.20","제1종일반 제2종일반(7층) 제2종 일반 제3종 일반","","18165.00","6122.00","2388.00","","","","","공동주택및주민공동시설","39.10","294.17","","30","2","392","202","102","88","82","36","36","10","","/servlet/image?url=images/assc/2020/01/202001021657291577951849730.jpg","/servlet/image?url=images/assc/2020/12/202012151048351607996915679.jpg","/servlet/image?url=images/assc/2020/12/202012151045231607996723900.jpg","서울특별시 동작구 서달로14길 44, 2층 (흑석동)","02-817-0080"
"11410-900001084","서대문구","남가좌동","재개발(도시정비형)","공공지원자","서대문구아상빌라테스트","남가좌동 11-11","정비계획 수립","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11500-900001074","강서구","마곡동","재건축","공공지원자","신안빌라주택재건축정비사업조합설립추진위원회","마곡동 327-53","정비구역지정","운영","0","신안빌라주택재건축정비사업","강서구 마곡동 327-53","","","","","","","","","","","","","","","","","","0","","","","0","","","","","/servlet/image?url=images/assc/2023/05/202305040817391683155859318.jpg","","","서울특별시 강서구 방화대로34길 120, 2동 105호 (마곡동, 신안빌라)",""
"11560-900001055","영등포구","영등포동","재개발(도시정비형)","공공지원자","영등포역남측 도심공공주택복합사업","영등포동 618-83","정비계획 수립","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11560-900001054","영등포구","신길동","재개발(도시정비형)","공공지원자","신길15구역 도심공공주택복합사업","신길동 278-121","정비계획 수립","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11560-900001053","영등포구","신길동","재개발(도시정비형)","공공지원자","신길4구역 도심공공주택복합사업","신길동 4918-5","정비계획 수립","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11560-900000977","영등포구","신길동","가로주택정비","조합","신길동 4377 일원 가로주택정비사업조합","신길동 4377","관리처분인가","운영","27","신길동 4377 일원 가로주택정비사업","영등포구 신길동 4377","1207.00","4171.96","도시지역 제3종일반주거지역","","","","","","","","","아파트","34.96","249.89","508","18","2","44","44","","","0","","","","","/servlet/image?url=images/assc/2023/02/202302271111591677463919224.jpg","/servlet/image?url=images/assc/2023/03/202303150939471678840787266.jpg","/servlet/image?url=images/assc/2023/03/202303150939471678840787608.jpg","서울특별시 영등포구 여의대방로13길 3, 다동 101호 (신길동)","010-6283-3589"
"11710-900000854","송파구","방이동","재건축","조합","대림가락아파트 재건축정비사업조합","방이동 217","조합설립인가","운영","480","대림가락아파트 재건축정비구역","송파구 방이동 217","34284.10","148927.57","제3종 일반주거지역","변경없음","34043.80","0.00","0.00","0.00","0.00","0.00","1197.20","공동주택 및 부대복리시설","20.66","299.98","129","35","2","786","263","224","299","139","","","139","","/servlet/image?url=images/assc/2022/04/202204151204071649991847906.jpg","/servlet/image?url=images/assc/2023/04/202304201057591681955879695.jpg","/servlet/image?url=images/assc/2022/05/202205171342181652762538589.jpg","서울특별시 송파구 오금로31가길 20, 202호, 대림가락상가 (방이동)","02-418-0889"
"11620-900001085","관악구","신림동","가로주택정비","조합","신림동 655-78번지 일원 가로주택정비사업","신림동 655-78","조합설립인가","운영","102","신림동 655-78번지 일원 가로주택정비사업","관악구 신림동 655-78","7758.00","24349.34","도시지역","제2종일반주거지역","","","","","","","","","36.11","224.43","","10","2","157","83","74","","18","","","18","","/servlet/image?url=images/assc/2023/08/202308081352171691470337431.jpg","","","서울특별시 관악구 난곡로 172, 202호 (신림동)","02-6406-8911"
"11590-900001156","동작구","대방동","지역주택","조합","신대방삼거리역지역주택조합 추진위원회","대방동 391-63","조합설립인가","운영","290","신대방삼거리역지역주택조합","동작구 대방동 391-63","23465.00","129910.40","제2종 일반주거지역","","23465.00","","","","","","","주거시설","38.93","423.49","106","35","3","757","402","355","","0","","","","","/servlet/image?url=images/assc/2024/02/202402271537471709015867213.jpg","/servlet/image?url=images/assc/2024/02/202402261101581708912918679.pdf","/servlet/image?url=images/assc/2024/02/202402261101581708912918682.pdf","서울특별시 동작구 대방동3길 20, 1층 (대방동)","02-3280-2330"
"11440-900001121","마포구","신공덕동","지역주택","조합","신공덕지역주택조합","신공덕동 6-3","조합설립인가","운영","49","신공덕지역주택조합","마포구 신공덕동 6-3 5-27","4795.00","20426.10","일반상업지역제2종일반거주지역가로구역별최고높이제한지역","중심지미관지구","","","","","","","","","27.61","270.12","69","23","3","135","113","22","","0","","","","","/servlet/image?url=images/assc/2023/09/202309141309351694664575307.jpg","/servlet/image?url=images/assc/2023/09/202309141309371694664577517.jpg","/servlet/image?url=images/assc/2023/09/202309141309401694664580014.jpg","서울특별시 마포구 만리재옛길 32 (신공덕동)","02-848-7776"
"11290-900000891","성북구","장위동","가로주택정비","조합","장위13의9구역 가로주택정비사업","장위동 232-125","조합설립인가","운영","38","장위13의9구역 가로주택정비사업","성북구 장위동 232-125","3805.00","10647.91","","","","","","","","","","","33.52","195.65","","","","84","42","42","","0","","","","","/servlet/image?url=images/assc/2022/02/202202091032341644370354478.png","","","서울특별시 성북구 장월로 121, 2층 (장위동)","02-919-4016"
"11140-900000847","중구","황학동","지역주택","조합","(가칭)황학동310번지일대 지역주택조합","황학동 310","조합설립인가","운영","0","(가칭)황학동310번지일대 지역주택조합","중구 황학동 310-0","9446.27","37288.80","일반상업지역","가로구역별 최고높이 제한지역","9446.27","332.00","","2100.00","","","","공동주택판매시설","59.99","409.13","","9","5","366","294","72","","0","","","","","/servlet/image?url=images/assc/2022/01/202201051108291641348509153.jpg","","/servlet/image?url=images/assc/2024/08/202408201312551724127175023.pdf","서울특별시 중구 퇴계로83길 40-24, 1층 (황학동)","02-2234-3150"
"11140-900000846","중구","황학동","지역주택","조합","(가칭)황학동1010일대 지역주택조합","황학동 1010","조합설립인가","운영","0","(가칭)황학동1010일대 지역주택조합","중구 황학동 1010-0","7822.70","70566.50","일반상업지역","일반상업지역","6391.70","449.00","","","982.00","","","공동주택","59.90","691.55","64","20","7","304","270","34","","0","","","","","/servlet/image?url=images/assc/2022/05/202205041026321651627592033.png","/servlet/image?url=images/assc/2022/05/202205041026321651627592252.jpg","/servlet/image?url=images/assc/2022/05/202205041026321651627592386.jpg","서울특별시 광진구 천호대로 605, 1층 홍보관 (중곡동)","02-6925-5126"
"11140-900000845","중구","황학동","지역주택","조합","황학동 청계 지역주택조합","황학동 2085","조합설립인가","운영","0","황학동 청계 지역주택조합","중구 황학동 2085-0","6256.51","58507.19","가로구역별 최고 높이제한지역","일반상업지구","6068.60","187.40","","","","","","공공주택","56.33","608.77","63","20","6","353","353","","","51","51","","","","/servlet/image?url=images/assc/2022/01/202201051521381641363698086.jpg","/servlet/image?url=images/assc/2022/10/202210191632151666164735342.jpg","/servlet/image?url=images/assc/2022/10/202210191635571666164957733.png","서울특별시 중구 다산로 212, 4층(훈정빌딩) (신당동)","02-6952-9120"
"11620-900001263","관악구","봉천동","지역주택","조합","행운스타리움지역주택조합","봉천동 26","조합설립인가","운영","198","(가칭)행운스타리움지역주택조합","관악구 봉천동 26-0","","","","","","","","","","","","","","","","","","0","","","","0","","","","","/servlet/image?url=images/assc/2024/11/202411281054371732758877913.png","/servlet/image?url=images/assc/2024/11/202411271532271732689147251.png","/servlet/image?url=images/assc/2024/11/202411271535321732689332420.png","서울특별시 관악구 행운1길 132, 2층 (봉천동)","0505-307-1111"
"11620-900000912","관악구","봉천동","지역주택","조합","(가칭)봉천동 지역주택조합 추진위원회","봉천동 690","조합설립인가","운영","210","(가칭)봉천동 지역주택조합 추진위원회","관악구 봉천동 690-0","25631.75","37396.60","","","","","","","","","","공동주택 및 부대복리시설","22.61","110.49","","7","2","285","229","56","","0","","","","","/servlet/image?url=images/assc/2022/06/202206021634241654155264477.jpg","","","서울특별시 관악구 당곡2길 42-7 (봉천동)","02-883-8535"
"11530-900001174","구로구","구로동","재개발(도시정비형)","공공지원자","남구로역세권 공공임대주택 도시정비형 재개발사업","구로동 715-24","정비구역지정","운영","118","남구로역세권 공공임대주택 도시정비형 재개발사업","구로구 구로동 715-24","10832.40","49200.64","도시지역 제3종일반주거지역","12차 역세권","","","","","","","","공동주택(아파트) 및 부대복리시설 등","41.75","288.55","57","19","3","214","71","143","","85","38","27","20","","/servlet/image?url=images/assc/2024/11/202411301524351732947875921.jpg","/servlet/image?url=images/assc/2024/11/202411301524361732947876133.jpg","/servlet/image?url=images/assc/2024/11/202411301524361732947876274.jpg","서울특별시 구로구 남부순환로105길 224, 2층 (가리봉동)",""
"11260-900001173","중랑구","중화동","재개발(주택정비형)","조합","중화5구역 공공재개발정비사업","중화동 122","조합설립인가","운영","833","중화5구역 주택정비형 공공재개발사업","중랑구 중화동 122-0","71465.90","2508917.68","제2종일반주거지역","제2종일반주거지역(7층이하)","55322.00","10309.90","4830.00","","","","1004.00","공동주택 및 부대복리시설","22.07","290.11","105","35","2","1196","527","627","42","414","81","35","298","","/servlet/image?url=images/assc/2024/01/202401261505271706249127356.jpg","/servlet/image?url=images/assc/2024/01/202401261505271706249127517.jpg","/servlet/image?url=images/assc/2024/01/202401261506461706249206337.png","서울특별시 중랑구 봉화산로 99, 2층(중화5 주민대표회의 사무실) (중화동)","02-433-5418"
"11230-900000997","동대문구","휘경동","재개발(주택정비형)","추진위원회","동성빌라일대 주택재개발정비사업 추정분담금 검토위","휘경동 43","조합설립추진위원회승인","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11620-900000758","관악구","신림동","재건축","조합","뉴서울아파트, 개나리,열망연립 재건축정비사업","신림동 739","사업시행인가","운영","214","뉴서울아파트 개나리 열망연립 재건축정비사업","관악구 신림동 739","14656.00","52910.32","제1종 일반주거지역 제2종 일반주거지역 제2종 일반주거지역(7층)","중점경관관리구역","13192.00","1464.00","0.00","0.00","0.00","0.00","","공동주택 및 부대복리시설","27.89","231.24","37","16","3","275","44","191","40","31","","31","","","/servlet/image?url=images/assc/2023/07/202307101855081688982908584.jpg","/servlet/image?url=images/assc/2022/06/202206161656021655366162185.jpg","/servlet/image/assc/2023/07/202307181236011689651361692.jpg","서울특별시 관악구 문성로16가길 47, 302호 (신림동)","02-863-3303"
"11215-900001184","광진구","자양동","재개발(주택정비형)","공공지원자","자양4동 57-90번지 일대 주택재개발사업","자양동 57-90","정비계획 수립","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11500-900000890","강서구","방화동","가로주택정비","조합","방화동 286-1 한미아파트 가로주택정비사업조합","방화동 286-1","조합설립인가","운영","101","방화동286의1번지 한미아파트 가로주택정비사업","강서구 방화동 286-1","4089.00","13409.54","제3종일반주거지역","수평표면구역","4089.00","","","","","","","공동주택","25.77","207.88","","15","2","114","114","","","0","","","","","/servlet/image?url=images/assc/2022/03/202203161548401647413320044.bmp","","/servlet/image?url=images/assc/2022/03/202203161548401647413320113.jpg","서울특별시 강서구 양천로23길 9, 관리사무소 (방화동, 한미아파트)","02-2665-5253"
"11215-900000929","광진구","광장동","소규모재건축","조합","광장동 삼성1차아파트 소규모재건축정비사업","광장동 561","조합설립인가","운영","171","광장동 삼성1차아파트 소규모재건축정비사업","광진구 광장동 561번지","7653.00","0.00","도시지역","제3종일반주거지역","7653.00","0.00","0.00","0.00","0.00","0.00","","공동주택(아파트) 및 근린생활시설","19.60","299.99","0","40","3","185","108","73","4","40","40","","","미정","/servlet/image?url=images/assc/2022/05/202205311710571653984657379.jpg","/servlet/image?url=images/assc/2022/09/202209021319171662092357506.jpg","/servlet/image?url=images/assc/2022/09/202209061724471662452687363.jpg","서울특별시 광진구 아차산로70길 17-21, 상가동 2층 조합사무실 (광장동, 삼성아파트)","02-454-0027"
"11530-900001241","구로구","궁동","재건축","공공지원자","우신빌라 재건축정비사업","궁동 213-27","정비구역지정","운영","830","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11470-900001108","양천구","신정동","재개발(주택정비형)","공공지원자","신월7동 1구역 주택재개발정비사업조합","신정동 913","정비계획 수립","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11740-900001027","강동구","천호동","재개발(주택정비형)","공공지원자","천호동 461-31번지 일대 재개발정비사업(천호 A1-2)","천호동 461-31","정비구역지정","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11620-900000992","관악구","봉천동","가로주택정비","조합","봉천동 1535번지 일원 가로주택정비사업","봉천동 1535-37","조합설립인가","운영","35","봉천동 1535번지 일원 가로주택정비사업","관악구 봉천동 1535-37","2457.00","1343390.78","제2종일반주거지역(제2종일반주거지역(7층))","","2338.30","","","","","","","공동주택(아파트) 및 부대복리시설","34.99","298.25","25","13","4","85","30","55","","0","","","","","/servlet/image?url=images/assc/2024/05/202405201514531716185693778.png","","","서울특별시 관악구 쑥고개로11길 38, 2층 (봉천동)","02-877-5558"
"11710-900000959","송파구","가락동","리모델링","조합","가락쌍용1차아파트 리모델링주택조합","가락동 140","조합설립인가","운영","2064","가락쌍용1차아파트 리모델링주택조합","송파구 가락동 140-0","55641.40","340268.75","도시지역","제3종 일반주거지역","","","","","","","","공동주택 및 부대복리시설","25.67","469.94","7370","27","5","0","","","","0","","","","","/servlet/image?url=images/assc/2022/09/202209131056451663034205697.jpg","/servlet/image?url=images/assc/2022/11/202211301443181669786998671.jpg","/servlet/image?url=images/assc/2022/11/202211301443181669786998749.jpg","서울특별시 송파구 동남로 159, 301호 (가락동)","02-6951-2064"
"11680-900000683","강남구","개포동","재건축","조합","개포주공5단지아파트 재건축정비사업 조합","개포동 187","사업시행인가","운영","960","개포주공5단지아파트 주택재건축정비사업","강남구 개포동 187","56173.20","274315.95","제3종일반주거지역","주거지역","51036.50","1128.70","7004.30","","","","","공동주택","23.07","299.89","112","35","4","1133","96","553","484","145","","","145","","/servlet/image?url=images/assc/2019/04/201904111354261554958466196.jpg","/servlet/image/assc/2024/01/202401121519491705040389324.jpg","/servlet/image/assc/2024/01/202401121520201705040420090.jpg","서울특별시 강남구 삼성로4길 17, 상가 204호 (개포동, 주공아파트)","02-445-8823"
"11260-900000970","중랑구","면목동","가로주택정비","조합","면목역 3의2구역 가로주택정비사업조합","면목동 153-51","조합설립인가","운영","129","면목역 3의2구역 가로주택정비사업조합","중랑구 면목동 153-51","8273.60","28714.65","도시지역","제2종일반주거지역(7층이하)","","","","","","","","공동주택(아파트) 및 부대복리시설","33.90","222.96","","10","2","183","98","85","","21","","21","","","/servlet/image?url=images/assc/2024/08/202408041414061722748446442.png","/servlet/image?url=images/assc/2022/12/202212091328381670560118188.jpg","/servlet/image?url=images/assc/2022/12/202212091328381670560118488.jpg","서울특별시 중랑구 면목로 431, 702호 (면목동)","02-434-2260"
"11305-900001088","강북구","번동","가로주택정비","조합","번동10구역 가로주택정비사업","번동 471-118","조합설립인가","운영","141","번동10구역 가로주택정비사업","강북구 번동 471-118","9510.20","30346.06","도시지역 제2종일반주거지역(7층이하)","상대보호구역 대공방어협조구역","","","","","","","","아파트","37.99","249.30","","15","2","165","42","123","","42","","42","","","/servlet/image?url=images/assc/2023/05/202305151612141684134734575.png","","/servlet/image?url=images/assc/2023/05/202305161011121684199472674.jpg","서울특별시 강북구 덕릉로 114-1, 대복빌딩 2층 201호 (미아동)","02-982-5282"
"11215-900000976","광진구","화양동","가로주택정비","조합","화양동 32-12번지 가로주택정비사업","화양동 32-12","조합설립인가","운영","20","화양동 32-12번지 가로주택정비사업","광진구 화양동 32-12","1588.40","4298.58","","","","","","","","","","공동주택(아파트)","42.52","199.88","2075","7","1","36","","36","","0","","","","","/servlet/image?url=images/assc/2023/01/202301032252511672753971768.jpg","","","서울특별시 광진구 능동로13길 94, B동 가2호 (화양동)","070-8287-1125"
"11590-900000935","동작구","대방동","지역주택","조합","대방동 지역주택조합","대방동 11-103","조합설립인가","운영","0","대방동 지역주택조합","동작구 대방동 11-103","12851.22","443825.87","제1종일반주거지역 제2종일반주거지역(7층 이하)","경관지구","12813.22","38.00","","","","","","공동주택","23.65","200.17","65","20","2","254","137","117","","18","","","18","공공주택 18세대","/servlet/image?url=images/assc/2023/06/202306291507271688018847884.jpg","/servlet/image?url=images/assc/2023/06/202306291507281688018848029.jpg","/servlet/image?url=images/assc/2023/06/202306291507281688018848254.jpg","서울특별시 동작구 여의대방로36길 102-11, 1층 (대방동)","02-822-1508"
"11500-900000914","강서구","염창동","리모델링","조합","염창무학아파트 리모델링주택조합","염창동 255","조합설립인가","운영","273","염창무학아파트 리모델링주택조합","강서구 염창동 255-0","8523.50","36799.18","도시지역 준공업지역","도로(접합) 역사문화특화경관지","","","","","","","","공동주택(아파트) 생활편의시설","23.95","446.41","","19","5","302","135","102","65","0","","","","","/servlet/image?url=images/assc/2022/04/202204181419411650259181128.png","/servlet/image?url=images/assc/2022/04/202204141652431649922763710.jpg","/servlet/image?url=images/assc/2022/04/202204181410451650258645416.jpg","서울특별시 강서구 양천로77길 13, 전방텍스타일빌딩 205호 (염창동)","02-2039-2177"
"11305-900000886","강북구","미아동","재개발(도시정비형)","조합","강북5구역 공공재개발사업","미아동 61-79","조합설립인가","운영","88","강북5구역","강북구 미아동 61-79","12870.00","75928.13","","","","2928.00","","","","","7.00","","","799.58","130","39","5","326","161","82","83","234","59","","175","","/servlet/image?url=images/assc/2022/01/202201211105201642730720540.jpg","/servlet/image?url=images/assc/2022/01/202201211105201642730720652.jpg","/servlet/image?url=images/assc/2022/02/202202111131181644546678526.png","서울특별시 강북구 도봉로13가길 9-8, 1층, 강북5구역 공공재개발 정비사업 주민대표회의 사무실 (미아동)","02-986-0888"
"11305-900001075","강북구","수유동","재개발(주택정비형)","공공지원자","수유동 170-1번지 일대 주택재개발정비사업","수유동 170-1","정비계획 수립","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11560-900001022","영등포구","여의도동","재건축","조합","여의도 공작아파트 재건축정비사업","여의도동 21-2","조합설립인가","운영","373","여의도 공작아파트 재건축정비사업","영등포구 여의도동 21-2","16929.00","","일반상업지역","-","16857.00","0.00","0.00","0.00","0.00","0.00","72.00","공동주택","","490.00","200","","","497","27","244","226","85","20","35","30","","/servlet/image?url=images/assc/2023/07/202307031820341688376034712.png","/servlet/image?url=images/assc/2023/08/202308211613001692601980524.jpg","/servlet/image?url=images/assc/2023/08/202308211618341692602314799.jpg","서울특별시 영등포구 국제금융로 106, 201호 (여의도동)","02-2190-7664"
"11560-900001019","영등포구","여의도동","재건축","조합","광장아파트 38-1 재건축정비사업조합","여의도동 38-1","조합설립인가","운영","168","광장아파트 38-1 재건축정비사업조합","영등포구 여의도동 38-1","10167.00","37526.69","","","","","","","","","","","25.89","245.79","","19","2","40","1","38","1","0","","","","60㎡이하 및 85㎡초과 분양없으나 정보입력을 위하여 1씩 입력함.","/servlet/image?url=images/assc/2024/08/202408251231201724556680600.png","","","서울특별시 영등포구 여의나루로 12, 1층 추진위원회 사무실 (여의도동, 광장아파트)","010-8957-0661"
"11230-900000893","동대문구","전농동","지역주택","조합","(가칭)전농지역주택조합","전농동 60","조합설립인가","운영","0","(가칭)전농지역주택조합","동대문구 전농동 60-22번지","25980.00","","","","","","","","","","","","","","","","","0","","","","0","","","","","/servlet/image?url=images/assc/2024/08/202408211754231724230463054.png","","","서울특별시 동대문구 전농로 154 (전농동)","02-3394-9912"
"11200-900000943","성동구","마장동","재건축","조합","마장세림아파트 주택재건축사업","마장동 784","조합설립인가","운영","876","마장세림아파트 주택재건축정비구역","성동구 마장동 784번지","38866.05","160553.00","","","37667.39","1198.66","","","","","","공동주택 및 부대복리시설","50.00","276.71","89","29","2","915","323","586","6","81","","20","61","","/servlet/image?url=images/assc/2023/03/202303021430481677735048708.jpg","","","서울특별시 성동구 마장로42길 2, 302호 (마장동)","02-2295-0010"
"11410-900001083","서대문구","홍제동","재개발(도시정비형)","공공지원자","홍제역세권 도시정비형 재개발정비사업조합","홍제동 311-1","정비계획 수립","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11500-900000925","강서구","염창동","가로주택정비","조합","양지빌라 가로주택정비사업조합","염창동 253-1","조합설립인가","운영","66","가로주택정비사업","강서구 염창동 253-1","182.35","","","","","","","","","","","","","","","","","0","","","","0","","","","","/servlet/image?url=images/assc/2022/08/202208041327101659587230871.png","/servlet/image?url=images/assc/2022/08/202208041327101659587230998.jpg","/servlet/image?url=images/assc/2022/08/202208041327111659587231386.jpg","서울특별시 강서구 양천로75길 22-16, 16동302호 (염창동, 양지빌라)","02-725-6100"
"11305-900001244","강북구","번동","가로주택정비","조합","번동3-2구역 가로주택정비사업","번동 443-46","조합설립인가","운영","95","번동3-2구역 가로주택정비사업","강북구 번동 443-46","7236.60","29828.53","도시지역 상대보호구역 대공방어협조구역","제3종일반주거지역","7236.60","","","","","","","아파트","28.46","299.19","","27","2","172","","105","67","43","","35","8","","/servlet/image?url=images/assc/2024/11/202411261609181732604958434.png","/servlet/image?url=images/assc/2024/11/202411261609181732604958655.jpg","/servlet/image?url=images/assc/2024/11/202411261609181732604958961.png","",""
"11650-900000984","서초구","방배동","가로주택정비","조합","방배대우가로주택정비사업","방배동 562-1","조합설립인가","운영","95","방배대우가로주택정비사업","서초구 방배동 562-1","6827.00","188235.59","제2종","일반주거지역","6827.00","50.00","100.00","0.00","0.00","0.00","0.00","공동주택","22.91","181.13","39","13","3","200","100","72","28","22","5","12","5","미정","/servlet/image?url=images/assc/2022/12/202212211410101671599410774.png","/servlet/image?url=images/assc/2022/12/202212211410121671599412740.png","/servlet/image?url=images/assc/2022/12/202212211412501671599570050.png","서울특별시 서초구 효령로4길 56-29, 2동 B104호 (방배동, 방배대우아파트)","070-8898-9086"
